algorithm,word,n_guesses
PositionalExplorerAmongstPossible,ASSAD,5
PositionalExplorerAmongstPossible,ASSAM,4
PositionalExplorerAmongstPossible,ASSAY,6
PositionalExplorerAmongstPossible,ASSES,5
PositionalExplorerAmongstPossible,ASSET,5
PositionalExplorerAmongstPossible,ASTER,2
PositionalExplorerAmongstPossible,ASTIR,4
PositionalExplorerAmongstPossible,ASTON,4
PositionalExplorerAmongstPossible,ASTOR,3
PositionalExplorerAmongstPossible,ASWAN,3
PositionalExplorerAmongstPossible,ATARI,4
PositionalExplorerAmongstPossible,ATLAS,4
PositionalExplorerAmongstPossible,ATMAN,5
PositionalExplorerAmongstPossible,ATOLL,4
PositionalExplorerAmongstPossible,ATOMS,4
PositionalExplorerAmongstPossible,ATONE,3
PositionalExplorerAmongstPossible,ATRIA,4
PositionalExplorerAmongstPossible,ALOOF,5
PositionalExplorerAmongstPossible,ALOUD,3
PositionalExplorerAmongstPossible,ALPHA,4
PositionalExplorerAmongstPossible,ALSOP,4
PositionalExplorerAmongstPossible,ALTAI,4
PositionalExplorerAmongstPossible,ALTAR,4
PositionalExplorerAmongstPossible,ALTER,4
PositionalExplorerAmongstPossible,ALTHO,4
PositionalExplorerAmongstPossible,ALTON,3
PositionalExplorerAmongstPossible,ALTOS,3
PositionalExplorerAmongstPossible,ALUMS,4
PositionalExplorerAmongstPossible,ALVIN,4
PositionalExplorerAmongstPossible,ALYCE,4
PositionalExplorerAmongstPossible,AMADO,5
PositionalExplorerAmongstPossible,AMARU,4
PositionalExplorerAmongstPossible,AMASS,5
PositionalExplorerAmongstPossible,AMATI,5
PositionalExplorerAmongstPossible,AMAZE,5
PositionalExplorerAmongstPossible,AMBER,4
PositionalExplorerAmongstPossible,AMBLE,5
PositionalExplorerAmongstPossible,AMEBA,5
PositionalExplorerAmongstPossible,AMEER,5
PositionalExplorerAmongstPossible,AMEND,5
PositionalExplorerAmongstPossible,AMGEN,4
PositionalExplorerAmongstPossible,AMIGA,4
PositionalExplorerAmongstPossible,AMIGO,3
PositionalExplorerAmongstPossible,AMINO,3
PositionalExplorerAmongstPossible,AMIRS,4
PositionalExplorerAmongstPossible,AMISH,4
PositionalExplorerAmongstPossible,AMISS,4
PositionalExplorerAmongstPossible,AMITY,4
PositionalExplorerAmongstPossible,AMMAN,6
PositionalExplorerAmongstPossible,AMOCO,4
PositionalExplorerAmongstPossible,AMONG,4
PositionalExplorerAmongstPossible,AMOUR,4
PositionalExplorerAmongstPossible,AMPLE,3
PositionalExplorerAmongstPossible,AMPLY,4
PositionalExplorerAmongstPossible,AMPUL,5
PositionalExplorerAmongstPossible,AMUCK,3
PositionalExplorerAmongstPossible,AMUSE,4
PositionalExplorerAmongstPossible,AMWAY,5
PositionalExplorerAmongstPossible,ANDES,2
PositionalExplorerAmongstPossible,ANDRE,4
PositionalExplorerAmongstPossible,ANGEL,3
PositionalExplorerAmongstPossible,ANGER,5
PositionalExplorerAmongstPossible,ANGIE,3
PositionalExplorerAmongstPossible,ANGLE,3
PositionalExplorerAmongstPossible,ANGLO,4
PositionalExplorerAmongstPossible,ANGRY,4
PositionalExplorerAmongstPossible,ANGST,3
PositionalExplorerAmongstPossible,ANGUS,3
PositionalExplorerAmongstPossible,ANIME,4
PositionalExplorerAmongstPossible,ANION,3
PositionalExplorerAmongstPossible,ANISE,4
PositionalExplorerAmongstPossible,ANITA,4
