algorithm,word,n_guesses
UnknownLetterExplorerAmongstPossible,ALBUM,3
UnknownLetterExplorerAmongstPossible,ALCOA,3
UnknownLetterExplorerAmongstPossible,ALDAN,3
UnknownLetterExplorerAmongstPossible,ALDEN,2
UnknownLetterExplorerAmongstPossible,ALDER,3
UnknownLetterExplorerAmongstPossible,ALERT,2
UnknownLetterExplorerAmongstPossible,ALEUT,3
UnknownLetterExplorerAmongstPossible,ALGAE,3
UnknownLetterExplorerAmongstPossible,ALGER,4
UnknownLetterExplorerAmongstPossible,ALGOL,4
UnknownLetterExplorerAmongstPossible,ALIAS,4
UnknownLetterExplorerAmongstPossible,ALIBI,3
UnknownLetterExplorerAmongstPossible,ALICE,3
UnknownLetterExplorerAmongstPossible,ALIEN,3
UnknownLetterExplorerAmongstPossible,ALIGN,2
UnknownLetterExplorerAmongstPossible,ALIKE,4
UnknownLetterExplorerAmongstPossible,ALINE,5
UnknownLetterExplorerAmongstPossible,ALISA,3
UnknownLetterExplorerAmongstPossible,ALIVE,6
UnknownLetterExplorerAmongstPossible,ALLAH,5
UnknownLetterExplorerAmongstPossible,ALLAN,4
UnknownLetterExplorerAmongstPossible,ALLAY,5
UnknownLetterExplorerAmongstPossible,ALLEN,4
UnknownLetterExplorerAmongstPossible,ALLEY,3
UnknownLetterExplorerAmongstPossible,ALLIE,3
UnknownLetterExplorerAmongstPossible,ALLOT,3
UnknownLetterExplorerAmongstPossible,ALLOW,5
UnknownLetterExplorerAmongstPossible,ALLOY,6
UnknownLetterExplorerAmongstPossible,ALOES,3
UnknownLetterExplorerAmongstPossible,ALOFT,2
UnknownLetterExplorerAmongstPossible,ALOHA,5
UnknownLetterExplorerAmongstPossible,ALONE,3
UnknownLetterExplorerAmongstPossible,ALONG,3
UnknownLetterExplorerAmongstPossible,ALOOF,3
UnknownLetterExplorerAmongstPossible,COIFS,3
UnknownLetterExplorerAmongstPossible,COILS,4
UnknownLetterExplorerAmongstPossible,COINS,3
UnknownLetterExplorerAmongstPossible,COKED,6
UnknownLetterExplorerAmongstPossible,COKES,5
UnknownLetterExplorerAmongstPossible,COLAS,4
UnknownLetterExplorerAmongstPossible,COLBY,3
UnknownLetterExplorerAmongstPossible,COLDS,4
UnknownLetterExplorerAmongstPossible,COLIC,5
UnknownLetterExplorerAmongstPossible,COLIN,4
UnknownLetterExplorerAmongstPossible,COLON,5
UnknownLetterExplorerAmongstPossible,COLOR,4
UnknownLetterExplorerAmongstPossible,COLTS,5
UnknownLetterExplorerAmongstPossible,COMAS,5
UnknownLetterExplorerAmongstPossible,COMBO,4
UnknownLetterExplorerAmongstPossible,COMBS,3
UnknownLetterExplorerAmongstPossible,COMER,5
UnknownLetterExplorerAmongstPossible,COMES,5
UnknownLetterExplorerAmongstPossible,COMET,3
UnknownLetterExplorerAmongstPossible,COMFY,4
UnknownLetterExplorerAmongstPossible,COMIC,4
UnknownLetterExplorerAmongstPossible,COMMA,4
UnknownLetterExplorerAmongstPossible,COMTE,4
UnknownLetterExplorerAmongstPossible,CONAN,4
UnknownLetterExplorerAmongstPossible,CONCH,4
UnknownLetterExplorerAmongstPossible,CONDO,4
UnknownLetterExplorerAmongstPossible,CONES,5
UnknownLetterExplorerAmongstPossible,CONGA,4
UnknownLetterExplorerAmongstPossible,CONGO,5
UnknownLetterExplorerAmongstPossible,CONIC,5
UnknownLetterExplorerAmongstPossible,CONKS,4
UnknownLetterExplorerAmongstPossible,COOED,5
UnknownLetterExplorerAmongstPossible,COOKE,4
UnknownLetterExplorerAmongstPossible,COOKS,4
UnknownLetterExplorerAmongstPossible,COOKY,3
UnknownLetterExplorerAmongstPossible,COOLS,4
UnknownLetterExplorerAmongstPossible,COONS,5
UnknownLetterExplorerAmongstPossible,COOPS,4
UnknownLetterExplorerAmongstPossible,COORS,5
UnknownLetterExplorerAmongstPossible,COOTS,4
UnknownLetterExplorerAmongstPossible,COPED,4
UnknownLetterExplorerAmongstPossible,COPES,4
UnknownLetterExplorerAmongstPossible,COPRA,4
UnknownLetterExplorerAmongstPossible,COPSE,4
UnknownLetterExplorerAmongstPossible,CORAL,3
UnknownLetterExplorerAmongstPossible,CORDS,4
UnknownLetterExplorerAmongstPossible,CORED,4
UnknownLetterExplorerAmongstPossible,CORES,4
UnknownLetterExplorerAmongstPossible,COREY,4
UnknownLetterExplorerAmongstPossible,CORFU,3
UnknownLetterExplorerAmongstPossible,CORKS,4
UnknownLetterExplorerAmongstPossible,CORMS,4
UnknownLetterExplorerAmongstPossible,CORNS,5
UnknownLetterExplorerAmongstPossible,CORNY,3
UnknownLetterExplorerAmongstPossible,COROT,5
UnknownLetterExplorerAmongstPossible,CORPS,6
UnknownLetterExplorerAmongstPossible,COSBY,4
UnknownLetterExplorerAmongstPossible,COSTS,6
UnknownLetterExplorerAmongstPossible,COTES,5
UnknownLetterExplorerAmongstPossible,COUCH,4
UnknownLetterExplorerAmongstPossible,COUGH,5
UnknownLetterExplorerAmongstPossible,COULD,4
UnknownLetterExplorerAmongstPossible,COUNT,3
UnknownLetterExplorerAmongstPossible,COUPE,4
UnknownLetterExplorerAmongstPossible,COUPS,4
UnknownLetterExplorerAmongstPossible,COURT,3
UnknownLetterExplorerAmongstPossible,COVEN,5
UnknownLetterExplorerAmongstPossible,COVER,3
UnknownLetterExplorerAmongstPossible,COVES,6
UnknownLetterExplorerAmongstPossible,COVET,4
UnknownLetterExplorerAmongstPossible,COVEY,4
UnknownLetterExplorerAmongstPossible,COWED,6
UnknownLetterExplorerAmongstPossible,COWER,4
UnknownLetterExplorerAmongstPossible,COWLS,6
UnknownLetterExplorerAmongstPossible,COYER,6
UnknownLetterExplorerAmongstPossible,COYLY,4
UnknownLetterExplorerAmongstPossible,COZEN,6
UnknownLetterExplorerAmongstPossible,CRABS,3
UnknownLetterExplorerAmongstPossible,CRACK,6
UnknownLetterExplorerAmongstPossible,CRAFT,3
UnknownLetterExplorerAmongstPossible,CRAGS,4
UnknownLetterExplorerAmongstPossible,CRAIG,4
UnknownLetterExplorerAmongstPossible,CRAMP,5
UnknownLetterExplorerAmongstPossible,CRAMS,5
UnknownLetterExplorerAmongstPossible,CRANE,3
UnknownLetterExplorerAmongstPossible,CRANK,4
UnknownLetterExplorerAmongstPossible,CRAPE,4
UnknownLetterExplorerAmongstPossible,CRAPS,3
UnknownLetterExplorerAmongstPossible,CRASH,3
UnknownLetterExplorerAmongstPossible,CRASS,4
UnknownLetterExplorerAmongstPossible,CRATE,2
UnknownLetterExplorerAmongstPossible,CRAVE,5
UnknownLetterExplorerAmongstPossible,CRAWL,5
UnknownLetterExplorerAmongstPossible,CRAWS,6
UnknownLetterExplorerAmongstPossible,CRAZE,6
UnknownLetterExplorerAmongstPossible,CRAZY,4
UnknownLetterExplorerAmongstPossible,CREAK,3
UnknownLetterExplorerAmongstPossible,CREAM,4
UnknownLetterExplorerAmongstPossible,CRECY,4
UnknownLetterExplorerAmongstPossible,CREDO,2
UnknownLetterExplorerAmongstPossible,CREED,3
UnknownLetterExplorerAmongstPossible,CREEK,4
UnknownLetterExplorerAmongstPossible,CREEL,4
UnknownLetterExplorerAmongstPossible,CREEP,5
UnknownLetterExplorerAmongstPossible,CREON,3
UnknownLetterExplorerAmongstPossible,CREPE,4
UnknownLetterExplorerAmongstPossible,CREPT,3
UnknownLetterExplorerAmongstPossible,CRESS,3
UnknownLetterExplorerAmongstPossible,CREST,2
UnknownLetterExplorerAmongstPossible,CRETE,5
UnknownLetterExplorerAmongstPossible,CREWS,4
UnknownLetterExplorerAmongstPossible,CRIBS,3
UnknownLetterExplorerAmongstPossible,CRICK,5
UnknownLetterExplorerAmongstPossible,CRIED,2
UnknownLetterExplorerAmongstPossible,CRIER,3
UnknownLetterExplorerAmongstPossible,CRIES,3
UnknownLetterExplorerAmongstPossible,CRIME,3
UnknownLetterExplorerAmongstPossible,CRIMP,3
